Food & Beverages,Inflight Entertainment,Seat Comfort,Staff Service,Value for Money,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Cabin Staff Service,Ground Service,Value For Money,Recommended,Wifi & Connectivity
2,4,1,,,Boeing 787,Family Leisure,Economy Class,Santiago to London,May-23,2,4,1,no,
5,5,4,,,,Couple Leisure,Economy Class,Seattle to Nice via London,Jun-23,4,1,2,no,
1,,4,,,,Couple Leisure,Premium Economy,Sydney via Singapore to London Heathrow,Mar-23,4,5,1,no,
4,4,2,,,Boeing 777,Business,Economy Class,Seattle to Edinburgh via Heathrow,May-23,4,2,2,no,1
3,3,4,,,,Solo Leisure,Economy Class,Athens to Durban via London Heathrow,Apr-23,5,5,4,no,
4,5,5,,,A350,Solo Leisure,Business Class,Vancouver to London Heathrow,May-23,5,4,4,yes,
2,3,3,,,,Family Leisure,Economy Class,Vancouver to Barcelona via London,May-23,2,1,1,no,3
1,1,1,,,,Family Leisure,Economy Class,Boston to Cairo via London,Jun-23,1,1,1,no,1
1,1,1,,,,Couple Leisure,Economy Class,London to Santorini,May-23,1,1,1,no,1
1,3,3,,,,Family Leisure,Economy Class,Heathrow to Mumbai,Feb-23,1,1,1,no,3
,,5,,,,Solo Leisure,Economy Class,London to Larnaca,Mar-23,5,5,5,yes,
,,1,,,,Family Leisure,Economy Class,Nice to London Heathrow,May-23,1,1,1,no,
1,1,1,,,,Solo Leisure,Economy Class,Las Vegas to Venice,May-23,1,1,1,no,1
3,5,4,,,Boeing 777-300,Family Leisure,Premium Economy,London to New York,May-23,4,4,4,yes,5
,1,1,,,A320,Couple Leisure,Economy Class,Lisbon to London,May-23,3,1,2,no,1
1,1,1,,,,Couple Leisure,Premium Economy,Dallas to Madrid via London,May-23,1,1,1,no,1
,,4,,,,Couple Leisure,Economy Class,London to Valencia,Mar-23,4,5,4,yes,
5,,5,,,A320,Solo Leisure,Economy Class,London to Glasgow,May-23,5,5,5,yes,
3,1,2,,,A320 Finnair,Business,Business Class,London Heathrow to Malaga,May-23,2,1,1,no,1
3,,2,,,A319,Couple Leisure,Business Class,London to Nice,May-23,3,4,1,no,1
1,4,3,,,,Solo Leisure,Business Class,London to San Francisco,Sep-22,1,2,2,no,
